Code,Searched keyword,Index,Job title,Company,Location,Min salary,Max salary,Link
2611,ทนายความ,50,ช่างภาพและวีดีโอ,บริษัท มีเมสเสจ จำกัด,อ.เมืองสุรินทร์ จ.สุรินทร์,"12,000","17,000",jobthai.com/th/company/job/1329558
2611,ทนายความ,51,Application / Web Developer,บริษัท มีเมสเสจ จำกัด,อ.เมืองนครราชสีมา จ.นครราชสีมา,"15,000","25,000",jobthai.com/th/company/job/1169472
2611,ทนายความ,52,Branch Manager (ฉะเชิงเทรา),บริษัท โพส เซฟี่ กรุ๊ป จำกัด / บริษัท ไทย ออปโป้ จำกัด,จ.ฉะเชิงเทรา,"12,000","15,000",jobthai.com/th/company/job/1266472
2612,ผู้พิพากษา,1,เจ้าหน้าที่งานกิจการนักเรียน (จนท.หอพักชาย),โรงเรียนมหิดลวิทยานุสรณ์,อ.พุทธมณฑล จ.นครปฐม,"20,000","24,000",jobthai.com/th/company/job/972695
2612,ผู้พิพากษา,2,เจ้าหน้าที่พัสดุ,โรงเรียนมหิดลวิทยานุสรณ์,อ.พุทธมณฑล จ.นครปฐม,"20,000","24,000",jobthai.com/th/company/job/1305753
2612,ผู้พิพากษา,3,โปรแกรมเมอร์ ด้านพัฒนาระบบโปรแกรม,กลุ่มงานกองทุนโลก ด้านวัณโรค กองวัณโรค กรมควบคุมโรค,เขตบางคอแหลม กรุงเทพมหานคร,"25,000","30,000",jobthai.com/th/company/job/1124137
2612,ผู้พิพากษา,4,เจ้าหน้าที่พยาบาล,โรงเรียนมหิดลวิทยานุสรณ์,อ.พุทธมณฑล จ.นครปฐม,"20,000","24,000",jobthai.com/th/company/job/1168310
2612,ผู้พิพากษา,5,เจ้าหน้าที่ Admin & Coordinator (จตุจักร),บริษัท วันทูวัน คอนแทคส์ จำกัด (มหาชน),เขตจตุจักร กรุงเทพมหานคร,"15,000",-,jobthai.com/th/company/job/1232227
2612,ผู้พิพากษา,6,เจ้าหน้าที่ออกแบบและพัฒนาเว็บไซต์,โรงเรียนมหิดลวิทยานุสรณ์,อ.พุทธมณฑล จ.นครปฐม,"20,000","24,000",jobthai.com/th/company/job/884422
2631,นักเศรษฐศาสตร์,1,เจ้าหน้าที่ปฏิบัติการ (บัญชี) ประจำธนาคารกสิกรไทย อาคาร KBTG (เมืองทองธานี),บริษัท โพรเกรส เอช อาร์ จำกัด (บริษัทให้บริการสนับสนุนงานธนาคารกสิกรไทย),อ.ปากเกร็ด จ.นนทบุรี,"12,000",-,jobthai.com/th/company/job/1241012
2631,นักเศรษฐศาสตร์,2,Growth Digital Marketing  (คอนเทนต์สื่อโฆษณาใน Social Media),"10X Plus Co., Ltd. (Aston International & กลุ่มบริษัท 10X Group)",อ.เมืองนนทบุรี จ.นนทบุรี,"24,000","35,000",jobthai.com/th/company/job/939285
2631,นักเศรษฐศาสตร์,3,พนักงานการเงินและบัญชี,บริษัท โปรบิลด์ ดีเวลลอปเมนท์ จำกัด,อ.เมืองนนทบุรี จ.นนทบุรี,"12,000","20,000",jobthai.com/th/company/job/1234088
2631,นักเศรษฐศาสตร์,4,นักทดสอบระบบ/นักวิเคราะห์ระบบฝึกหัด,บริษัท ที.อาร์. สยามภัณฑ์ จำกัด,เขตบางกะปิ กรุงเทพมหานคร,"15,000","25,000",jobthai.com/th/company/job/1238988
2631,นักเศรษฐศาสตร์,5,Sales Strategy officer,บริษัท ซี.เจ.เอ็กซ์เพรส กรุ๊ป จำกัด,เขตบางรัก กรุงเทพมหานคร,"18,000","25,000",jobthai.com/th/company/job/1234346
2631,นักเศรษฐศาสตร์,6,ธุรการ/ บัญชี (Administrative Officer),"KEN Corporation Co.,Ltd.",MRT สามย่าน,"18,000","25,000",jobthai.com/th/company/job/1326066
2631,นักเศรษฐศาสตร์,7,Marketing Manager,บริษัท อีไฟว์ เม็ททอลนิค จำกัด,เขตสะพานสูง กรุงเทพมหานคร,"30,000","40,000",jobthai.com/th/company/job/1318171
2631,นักเศรษฐศาสตร์,8,Client Associate,บริษัท เอชเอส แบรนด์ โกลบอล (ประเทศไทย) จำกัด,BTS วงเวียนใหญ่,"15,000","20,000",jobthai.com/th/company/job/1128651
2631,นักเศรษฐศาสตร์,9,ผู้จัดการทั่วไป,"IE Thai Software Co.,ltd.",อ.เมืองนครราชสีมา จ.นครราชสีมา,"20,000","25,000",jobthai.com/th/company/job/1305474
2634,นักจิตวิทยา,1,พยาบาลวิชาชีพ Full time/ Part time,"The Dawn Chiang Mai Rehab Co.,Ltd.",อ.หางดง จ.เชียงใหม่,"25,000","35,000",jobthai.com/th/company/job/1324736
2634,นักจิตวิทยา,2,ผู้จัดการแผนกสรรหาว่าจ้าง,บริษัท ไนซ์ คอล จำกัด,เขตบางเขน กรุงเทพมหานคร,"30,000","50,000",jobthai.com/th/company/job/1235707
